TID                                  List of item IDs
-----------------------------------------------------------------------------------------------------------
T1      6,7
T2      0,1,2,3,5,6,8,9
T3      0,1,5,7,8,9
T4      1,4
T5      0,1,2,3,4,6,7,9
T6      2,4,6
T7      0,1,2,7,8
T8      1,2,3,4
T9      0,2,4,5,6,8,9
T10      0,1,2,4,6
T11      2,7,8
T12      0,1,2,3,4,5,6,8
T14      0,1,2,5,6,7,8,9
T15      0,1,3,4,5,6,7,8,9
T17      0,2,3,5,6,7,8
T18      0,2,3
T19      2,4,5,7,8,9
T20      0,3,4,5,6,7,8,9
T21      0,2,6,7,8,9
T22      0,1,2,3,5,8,9
T24      0,2,5,9
T25      3,4,5,6,7,8,9
T26      0,1,2,4,5,6,7,9
T27      1,5
T28      1,5,6,9
T30      0,2,3,4,5,6,7,8,9
T31      1,3,4,5,6,7,8,9
T32      0,2,3,4,5,6,7,8
T33      1
T34      0,1,4,8,9
T36      0,1,2,3,4,5,6,7,8
T37      5
T38      0,2,3,4,5,6,7,8
T39      1,4,5,6,7,8,9
T40      1,3,4,5,8,9
T41      0,1,4,5,7,8,9
T42      5,9
T43      1,6,7,9
T44      0,1,2,3,5,6,7,8,9
T46      0,3,5
T47      1,3,5,6,8,9
T48      0,7,8,9
T49      5,6,7,8
T50      0,1,2,4,6,7,8
